candidate_uuid	parent_candidate_uuid	iteration	candidate_label	feasible	eval_throughput	objective_mean	objective_ci_95	measurement_count	window_completed	no_oom_events	reasoning_content_purity	determinism_pass_rate	status	notes
5d736dbd-272a-4277-896b-a6c4e75f6a0d		baseline_a	baseline_a	true	0.008821			1	true	true	1.0	1.0	baseline	default-config baseline replay a
8ec7f50e-e92d-4f77-bcbf-9ec8a7a911d0		baseline_b	baseline_b	true	0.007583			1	true	true	1.0	1.0	baseline	default-config baseline replay b
3de60d70-2fe3-4491-9945-7a16228b76fb		001	candidate-001	true	0.007586			1	true	true	1.0	1.0	discard	Feasible screen run completed with no OOMs, but eval_throughput 0.007586 trailed baseline_a 0.008821 and was effectively flat vs baseline_b 0.007583.
ee91ed6f-648e-4b48-8f61-78409c12c6a1		002	candidate-002	true	0.007842			1	true	true	1.0	1.0	keep	Feasible trace with no OOMs, determinism/purity 1.0, and eval_throughput 0.007842 at sustained_concurrency 4.
b027d1e4-f239-4108-b9d9-d391c752cbac		003	candidate-003	true	0.009775			1	true	true	1.0	1.0	keep	Feasible RealMeasurementHarness trace with no OOMs, purity/determinism 1.0, and eval_throughput 0.009775 over 409.2s at sustained_concurrency 4.
87f36bc3-9c03-48da-9de8-3f1d4b8f3489		004	candidate-004	true	0.007589			1	true	true	1.0	1.0	discard	Stable RealMeasurementHarness trace, but eval_throughput fell to 0.007589 over 527.062s versus iteration 003's 0.009775 over 409.2s.
e416bb84-8272-4f2a-858e-b1c8a727ced4		005	candidate-005	true	0.00925			1	true	true	1.0	1.0	discard	Feasible RealMeasurementHarness trace with no OOMs and eval_throughput 0.00925 over 432.448s at sustained_concurrency 4, but it remained below the round-best 0.009775.
6516a4ca-9868-49d7-9b65-3af7622215aa		006	candidate-006	true	0.008147			1	true	true	1.0	1.0	discard	Feasible RealMeasurementHarness trace with window_completed=true and no OOMs, but eval_throughput 0.008147 over 490.992s remained below the round-best 0.009775.
b693235f-4796-4e53-a581-87b31f10a549		007	candidate-007	true	0.00836			1	true	true	1.0	1.0	discard	Feasible RealMeasurementHarness trace with window_completed=true and no OOMs, but disabling chunked prefill yielded eval_throughput 0.00836 over 478.445s, below the round-best 0.009775.
4374e45e-61e7-4837-9620-a89cb0be8227		008	candidate-008	true	0.007587			1	true	true	1.0	1.0	discard	Feasible RealMeasurementHarness run with window_completed=true and no OOMs, but eval_throughput fell to 0.007587 and prefix-cache hit rate stayed 0.0 throughout.
a9306c55-f303-41fc-9a9d-6ee68f79790f		009	candidate-009	true	0.008947			1	true	true	1.0	1.0	discard	Feasible RealMeasurementHarness trace with window_completed=true, no_oom_events=true, and purity/determinism 1.0, but eval_throughput 0.008947 stayed below the round-best 0.009775.
0b80fb77-b2d6-4352-af2e-db92cc6746d9		010	candidate-010	true	0.00759			1	true	true	1.0	1.0	discard	Stable RealMeasurementHarness trace with window_completed=true and no OOMs, but eval_throughput 0.00759 over 527.031s regressed below the round-best 0.009775.
239c15d0-7a6b-44fd-a65c-1ca37b72e664		011	candidate-011	true	0.007867			1	true	true	1.0	1.0	discard	Feasible RealMeasurementHarness trace with window_completed=true, no_oom_events=true, and eval_throughput 0.007867 over 508.483s, but it remained below the round-best 0.009775.
aea9f6cb-27c7-48b1-a56b-4497cf4cfcdf		012	candidate-012	true	0.007588			1	true	true	1.0	1.0	discard	Feasible RealMeasurementHarness trace with window_completed=true and no OOMs, but eval_throughput 0.007588 over 527.122s and tpot_p95_ms 332.188 regressed below the round-best 0.009775.
6a53b4b3-97d6-4b84-a113-cea88e14045d	b027d1e4-f239-4108-b9d9-d391c752cbac	rescreen_01	rescreen_01	true	0.007717	0.009	0.002	2	true	true	1.0	1.0	rescreened	
f39fbad4-6103-403f-9889-6349207c0dab	5d736dbd-272a-4277-896b-a6c4e75f6a0d	rescreen_02	rescreen_02	true	0.008143	0.008	0.001	2	true	true	1.0	1.0	rescreened	
