source_round_id	iteration	mutation_hash	rejection_reason	first_diverging_probe_index	tolerance_overshoot	source_ref	blocked_note
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z	001		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z/mutations_rejected.tsv	# Candidate 001 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z	002		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z/mutations_rejected.tsv	# Candidate 002 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z	003		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z/mutations_rejected.tsv	# Candidate 003 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z	001		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/mutations_rejected.tsv	# Candidate 001 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z	003	b3df610aa890230bdf9bd4f894ad06544f94c32cf8d9861d28bc0e2330218586	parity_generation_speed_below_baseline			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/mutations_rejected.tsv	iteration rejected by controller's parity/generation speed gate
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	001		agent_blocked_compile_preflight			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	# Candidate 001 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	002	89539c83a28013aff5838b8e6560511353dbfd74d2e2f86af72bbc884ee77be0	safety_routes_cutlass_round_to_non_cutlass_backend			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	005		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	# Candidate 005 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	007		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	# Candidate 007 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	011		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	# Candidate 011 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	012		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	# Candidate 012 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	013	0819a8aa8b60fc6d05b08a19ebaae5c78bae25fb4e5995d462da16b0831b78a6	missing_compute_bandwidth_analysis			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	iteration rejected by controller cheap preflight
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	020	499170b8d07eb06f01a19e92fc003202e887ed49e6797a2116e2e868b9f5d36d	parity_generation_speed_below_baseline			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	iteration rejected by controller's parity/generation speed gate
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	022		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	# Candidate 022 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	024	9180f62f2107b98e7187f1dbf90cc93b62bc5cfab537c6c0f4acaf42eb217479	parity_generation_speed_below_baseline			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	iteration rejected by controller's parity/generation speed gate
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	025		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	# Candidate 025 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	026	51c5525724943eb455779f9f4038e0ef60f8faf984af99f65d2a6261f9c0e8ba	parity_generation_speed_below_baseline			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	iteration rejected by controller's parity/generation speed gate
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	027		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	# Candidate 027 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	028		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	# Candidate 028 Blocked
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	029		agent_no_patch			output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/mutations_rejected.tsv	# Candidate 029 Blocked
