source_round_id	iteration	mutation_hash	workload_key	surface	changed_region	expected_affected_path	mutation_features	schedule_trace	patch_diff	controller_gate	outcome	failure_class	objective_mean	rollout_measurements	measurement_policy	tier4_overshoot	failure_relation	next_implication	search_bias	artifact_refs
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z	001		qwen3.5-27b-responses-sdk-adapter-cutover-heavy|kernel=fp8_gemm|round_type=l0c_mutation	unknown_or_mixed	no_patch	schedule_tile_or_cta_shape	m_guard=M<=256,scale_related	region=no_patch;features=m_guard=M<=256,scale_related	- `M=1,N=34816,K=5120`: total estimated bytes `178.376 MB`, B weights `178.258 MB`.\n- `M=1,N=5120,K=17408`: total estimated bytes `89.179 MB`, B weights `89.129 MB`.	agent_blocked_no_mutation	agent_blocked_no_mutation	authoring			not_measured_or_controller_preflight		search_context:unknown_or_mixed:schedule_tile_or_cta_shape	read artifacts before proposing adjacent mutations	context_only	output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z/candidates/001/BLOCKED.md
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z	002		qwen3.5-27b-responses-sdk-adapter-cutover-heavy|kernel=fp8_gemm|round_type=l0c_mutation	unknown_or_mixed	no_patch	schedule_tile_or_cta_shape	scale_related	region=no_patch;features=scale_related	- `M=1,N=34816,K=5120`: total estimated bytes `178.376 MB`, B weights `178.258 MB`.\n- `M=1,N=5120,K=17408`: total estimated bytes `89.179 MB`, B weights `89.129 MB`.	agent_blocked_no_mutation	agent_blocked_no_mutation	authoring			not_measured_or_controller_preflight		search_context:unknown_or_mixed:schedule_tile_or_cta_shape	read artifacts before proposing adjacent mutations	context_only	output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z/candidates/002/BLOCKED.md
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z	003		qwen3.5-27b-responses-sdk-adapter-cutover-heavy|kernel=fp8_gemm|round_type=l0c_mutation	unknown_or_mixed	no_patch	unclassified_low_level_mechanism	unclassified_low_level_mechanism	region=no_patch;features=unclassified_low_level_mechanism		agent_no_patch	agent_no_patch	authoring			not_measured_or_controller_preflight		authoring_failure:no_patch	agent must submit mutation.patch or BLOCKED.md with a concrete source-surface reason	context_only	output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T204655Z/candidates/003/BLOCKED.md
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z	001		qwen3.5-27b-responses-sdk-adapter-cutover-heavy|kernel=fp8_gemm|round_type=l0c_mutation	unknown_or_mixed	no_patch	schedule_tile_or_cta_shape	scale_related	region=no_patch;features=scale_related	- `M=1,N=34816,K=5120`: about `178.376` MB moved, with `178.258` MB from B weights.\n- `M=1,N=5120,K=17408`: about `89.179` MB moved, with `89.129` MB from B weights.	agent_blocked_no_mutation	agent_blocked_no_mutation	authoring			not_measured_or_controller_preflight		search_context:unknown_or_mixed:schedule_tile_or_cta_shape	read artifacts before proposing adjacent mutations	context_only	output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/candidates/001/BLOCKED.md
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z	002	ced335edb269118436aedcfb146036743bb7016994b5118c12a08cdf10c3d3ca	qwen3.5-27b-responses-sdk-adapter-cutover-heavy|kernel=fp8_gemm|round_type=l0c_mutation	cutlass_cxx_dispatch_or_schedule	cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/cutlass_gemm_caller.cuh	unclassified_low_level_mechanism	shape=int,int,int,int	paths=cutlass_gemm_caller.cuh;features=shape=int,int,int,int	--- cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/cutlass_gemm_caller.cuh\n+++ cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/cutlass_gemm_caller.cuh\n@@ -6,6 +6,8 @@\n+#include <vector>\n+\n@@ -24,12 +26,50 @@\n+struct CutlassWorkspaceCacheEntry {\n+  int device_id;\n+  cudaStream_t stream;\n+  torch::Tensor buffer;\n+};\n+\n+static inline void* get_cutlass_workspace_ptr(torch::Device device,\n+                                              cudaStream_t stream,\n+                                              size_t workspace_size) {\n+  if (workspace_size == 0) {\n+    return nullptr;\n+  }\n+\n+  int device_id = static_cast<int>(device.index());\n+  if (device_id < 0) {\n+    device_id = 0;\n+  }\n+\n+  thread_local std::vector<CutlassWorkspaceCacheEntry> workspace_cache;\n+  for (auto& entry : workspace_cache) {\n+    if (entry.device_id == device_id && entry.stream == stream) {\n+      if (!entry.buffer.defined() ||\n+          static_cast<size_t>(entry.buffer.numel()) < workspace_size) {\n+        auto const workspace_options =\n+            torch::TensorOptions().dtype(torch::kUInt8).device(device);\n+        entry.buffer = torch::empty(workspace_size, workspace_options);\n+      }\n+      return entry.buffer.data_ptr();\n+    }\n+  }\n+\n+  auto const workspace_options =\n+      torch::TensorOptions().dtype(torch::kUInt8).device(device);\n+  workspace_cache.push_back(\n+      {device_id, stream, torch::empty(workspace_size, workspace_options)});\n+  return workspace_cache.back().buffer.data_ptr();\n+}\n+\n@@ -49,14 +8	ran_passed_with_tier4_downstream_logit_diagnostic	discard	performance	0.041480	0.026828,0.056132	controller_real_vllm_restart;candidate_windows=2	0.356390625	same_surface_or_path_failed:cutlass_cxx_dispatch_or_schedule:unclassified_low_level_mechanism	avoid repeating this surface/path unless a new dispatch, shape, scale, or schedule fact changes the hypothesis	deprioritize_adjacent_without_new_evidence	output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/candidates/002/mutation.patch,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/candidates/002/parity_check.json,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/candidates/002/speed_gate.json,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/candidates/002/measurement_trace.json
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z	003	b3df610aa890230bdf9bd4f894ad06544f94c32cf8d9861d28bc0e2330218586	qwen3.5-27b-responses-sdk-adapter-cutover-heavy|kernel=fp8_gemm|round_type=l0c_mutation	cutlass_sm120_dispatch	cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/scaled_mm_blockwise_sm120_fp8_dispatch.cuh	schedule_tile_or_cta_shape	shape=_128,_64,_128,shape=_1,_1,_1,m_guard=M==1,m_guard=M<=256,enable_sm120_family,swap_ab,scale_related	paths=scaled_mm_blockwise_sm120_fp8_dispatch.cuh;features=shape=_128,_64,_128,shape=_1,_1,_1,m_guard=M==1,m_guard=M<=256,enable_sm120_family,swap_ab,scale_related	--- cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/scaled_mm_blockwise_sm120_fp8_dispatch.cuh 2026-05-03 17:28:52.000000000 +0000\n+++ cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/scaled_mm_blockwise_sm120_fp8_dispatch.cuh\n@@ -24,8 +24,10 @@\n-          class EpilogueScheduler, class MainloopScheduler>\n+          class EpilogueScheduler, class MainloopScheduler,\n+          bool swap_ab_ = false>\n+  static constexpr bool swap_ab = swap_ab_;\n@@ -53,9 +55,13 @@\n-  using ScaleConfig = cutlass::detail::Sm120BlockwiseScaleConfig<\n+  using ScaleConfig = conditional_t<swap_ab,\n+      cutlass::detail::Sm120BlockwiseScaleConfig<\n-        cute::UMMA::Major::MN, cute::UMMA::Major::K>;\n+        cute::UMMA::Major::K, cute::UMMA::Major::MN>,\n+      cutlass::detail::Sm120BlockwiseScaleConfig<\n+        ScaleGranularityM, ScaleGranularityN, ScaleGranularityK,\n+        cute::UMMA::Major::MN, cute::UMMA::Major::K>>;\n@@ -76,17 +82,32 @@\n-      LayoutC,\n+      conditional_t<swap_ab, LayoutC_Transpose, LayoutC>,\n-      LayoutD,\n+      conditional_t<swap_ab, LayoutD_Transpose, LayoutD>,\n-  using CollectiveMainloop = \n+  using CollectiveMainloop = conditional_t<swap_ab,\n+      typename cutlass::gemm::collective::CollectiveBuilder<\n+          ArchTag,\n+          OperatorClass,\n+          ElementB,\n+          cute::tuple<LayoutB_Transpose, LayoutSFA>,\n+          AlignmentB,\n+          ElementA,\n+          cute::tuple<LayoutA_Transpose, LayoutSFB>,\n+          AlignmentA,\n+          ElementAccumulator,\n+          MmaTile	parity_generation_speed_below_baseline	parity_generation_speed_below_baseline	performance			controller_parity_before_measurement	0.4193984375	performance_gate_failed:cutlass_sm120_dispatch:schedule_tile_or_cta_shape	do not spend controller validation on adjacent candidates unless preflight analysis explains how they clear the post-parity speed threshold	deprioritize_until_speed_gate_hypothesis_changes	output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/candidates/003/mutation.patch,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/candidates/003/parity_check.json,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/candidates/003/speed_gate.json,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/candidates/003/warm_post_parity_speed_gate.json,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T185949Z/candidates/003/BLOCKED.md
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	001		qwen3.5-27b-responses-sdk-adapter-cutover-heavy|kernel=fp8_gemm|round_type=l0c_mutation	cutlass_sm120_dispatch	no_patch	schedule_tile_or_cta_shape	shape=_64,_128,_128,shape=_64,_128,_256,m_guard=M<=256,scale_related	region=no_patch;features=shape=_64,_128,_128,shape=_64,_128,_256,m_guard=M<=256,scale_related	- Switch the M64 blockwise schedule from `KernelTmaWarpSpecializedBlockwisePingpongSm120` to CUTLASS auto/cooperative variants.\n- Increase the M64 blockwise K tile from `Shape<_64, _128, _128>` to `Shape<_64, _128, _256>`.	agent_blocked_compile_preflight	agent_blocked_compile_preflight	build			author_compile_preflight_only		build_risk:cutlass_sm120_dispatch:schedule_tile_or_cta_shape	agent must fix compile/preflight locally before controller validation	repair_compile_surface_before_resubmit	output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/candidates/001/parity_check.json,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/candidates/001/BLOCKED.md
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	002	89539c83a28013aff5838b8e6560511353dbfd74d2e2f86af72bbc884ee77be0	qwen3.5-27b-responses-sdk-adapter-cutover-heavy|kernel=fp8_gemm|round_type=l0c_mutation	unknown_or_mixed	cutlass_source_workspace/vllm-source/vllm/model_executor/layers/quantization/utils/fp8_utils.py	scale_placement_or_quant_semantics	m_guard=M<=16,scale_related	paths=fp8_utils.py;features=m_guard=M<=16,scale_related	--- cutlass_source_workspace/vllm-source/vllm/model_executor/layers/quantization/utils/fp8_utils.py 2026-05-03 17:28:52.000000000 +0000\n+++ cutlass_source_workspace/vllm-source/vllm/model_executor/layers/quantization/utils/fp8_utils.py 2026-05-05 09:18:11.035164244 +0000\n@@ -370,6 +370,14 @@\n+        self.uses_cutlass_blockscale = (\n+            cutlass_block_fp8_supported and not use_aiter_and_is_supported\n+        )\n+        capability = current_platform.get_device_capability()\n+        capability_int = -1 if capability is None else capability.to_int()\n+        self.use_triton_gb10_decode_path = (\n+            self.uses_cutlass_blockscale and capability_int == 121\n+        )\n@@ -391,6 +399,16 @@\n+        self.triton_decode_input_quant_op = (\n+            QuantFP8(\n+                False,\n+                self.act_quant_group_shape,\n+                column_major_scales=False,\n+                use_ue8m0=False,\n+            )\n+            if self.uses_cutlass_blockscale\n+            else None\n+        )\n@@ -417,6 +435,12 @@\n+        elif self._should_use_triton_gb10_decode_path(\n+            input_2d, weight, output_dtype\n+        ):\n+            output = self._run_triton_gb10_decode(\n+                input_2d, weight, weight_scale\n+            )\n@@ -444,6 +468,45 @@\n+    def _should_use_triton_gb10_decode_path(\n+        self,\n+        input_2d: torch.Tensor,\n+        weight: torch.Tensor,\n+        output_dtype: torch.dtype,\n+    ) -> bool:\n+        if not self.use_triton_gb10_decode_path:\n+            return False\n+\n+        M, K = inp	safety_routes_cutlass_round_to_non_cutlass_backend	safety_routes_cutlass_round_to_non_cutlass_backend	preflight_safety			not_measured_or_controller_preflight		search_context:unknown_or_mixed:scale_placement_or_quant_semantics	read artifacts before proposing adjacent mutations	context_only	output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/candidates/002/mutation.patch,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/candidates/002/parity_check.json
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	003	88c5a30e56d9fea599b8f4f75b382dfa678c571367009e603c4876dc73652210	qwen3.5-27b-responses-sdk-adapter-cutover-heavy|kernel=fp8_gemm|round_type=l0c_mutation	cutlass_sm120_dispatch	cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/cutlass_gemm_caller.cuh,cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/scaled_mm_blockwise_sm120_fp8_dispatch.cuh	schedule_tile_or_cta_shape	shape=int,int,int,int,enable_sm120_family,KernelHardwareInfo,sm_count,scale_related	paths=cutlass_gemm_caller.cuh,scaled_mm_blockwise_sm120_fp8_dispatch.cuh;features=shape=int,int,int,int,enable_sm120_family,KernelHardwareInfo,sm_count,scale_related	--- cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/cutlass_gemm_caller.cuh\n+++ cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/cutlass_gemm_caller.cuh\n@@ -30,13 +30,30 @@\n+static inline cutlass::KernelHardwareInfo get_cached_kernel_hardware_info(\n+    torch::Device device) {\n+  int device_id = static_cast<int>(device.index());\n+  thread_local int cached_device_id = -1;\n+  thread_local int cached_sm_count = 0;\n+\n+  if (cached_device_id != device_id || cached_sm_count <= 0) {\n+    cached_device_id = device_id;\n+    cached_sm_count =\n+        cutlass::KernelHardwareInfo::query_device_multiprocessor_count(\n+            device_id);\n+  }\n+\n+  return cutlass::KernelHardwareInfo{device_id, cached_sm_count};\n+}\n+\n-  cutlass::KernelHardwareInfo hw_info;\n+  cutlass::KernelHardwareInfo hw_info =\n+      get_cached_kernel_hardware_info(device);\n@@ -104,4 +121,4 @@\n-}  // namespace vllm::c3x\n+}  // namespace vllm::c3x\n--- cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/scaled_mm_blockwise_sm120_fp8_dispatch.cuh\n+++ cutlass_source_workspace/vllm-source/csrc/quantization/w8a8/cutlass/c3x/scaled_mm_blockwise_sm120_fp8_dispatch.cuh\n@@ -105,7 +105,8 @@\n-      Shape<int, int, int, int>, CollectiveMainloop, CollectiveEpilogue>>;\n+      Shape<int, int, int, int>, CollectiveMainloop, CollectiveEpilogue,\n+      cutlass::gemm::PersistentScheduler>>;	ran_passed_with_tier4_downstream_logit_diagnostic	discard	performance	0.042228	0.033892,0.050564	controller_real_vllm_restart;candidate_windows=2	0.35653125	same_surface_or_path_failed:cutlass_sm120_dispatch:schedule_tile_or_cta_shape	avoid repeating this surface/path unless a new dispatch, shape, scale, or schedule fact changes the hypothesis	deprioritize_adjacent_without_new_evidence	output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/candidates/003/mutation.patch,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/candidates/003/parity_check.json,output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/candidates/003/measurement_trace.json
qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z	005		qwen3.5-27b-responses-sdk-adapter-cutover-heavy|kernel=fp8_gemm|round_type=l0c_mutation	unknown_or_mixed	no_patch	schedule_tile_or_cta_shape	shape=_64,_128,_128,shape=_64,_64,_128,m_guard=M<=256,scale_related	region=no_patch;features=shape=_64,_128,_128,shape=_64,_64,_128,m_guard=M<=256,scale_related	- Add a guarded `Shape<_64,_64,_128>` small-N config for `M <= 256 && N <= 8192`. This would double CTA count while keeping B-weight bytes, dtype, layout, public signature, output dtype, and scale granularity unchanged, but the SM120 blockwise instantiation failed to compile.\n- Add an optional tile-scheduler template parameter and route `M <= 256 && N <= 8192` through `cutlass::gemm::StreamKScheduler` with the existing legal `Shape<_64,_128,_128>` tile. This preserved all scale/data semantics and changed only the launched CUTLASS scheduler for the low-CTA shapes, but the SM120 blockwise `GemmUniversal` instantiation failed to compile.	agent_blocked_compile_preflight	agent_blocked_compile_preflight	build			author_compile_preflight_only		build_risk:unknown_or_mixed:schedule_tile_or_cta_shape	agent must fix compile/preflight locally before controller validation	repair_compile_surface_before_resubmit	output/auto_research/qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260505T083523Z/candidates/005/BLOCKED.md
