candidate_id	tier	cost_bucket	reason	first_failing_metric	recorded_at
001	controller	speed_below_target	speed_below_target		2026-05-06T05:29:35Z
002	controller	unsupported_or_missing_serve_config	unsupported_or_missing_serve_config		2026-05-06T05:30:55Z
003	controller	speed_below_target	speed_below_target		2026-05-06T05:33:47Z
004	controller	speed_below_target	speed_below_target		2026-05-06T05:37:03Z
005	controller	speed_below_target	speed_below_target		2026-05-06T05:43:11Z
006	controller	speed_below_target	speed_below_target		2026-05-06T05:48:17Z
007	controller	speed_below_candidate_acceptance	speed_below_candidate_acceptance	warm_decode_tps	2026-05-06T06:01:59Z
008	controller	runtime_config_apply_failed	runtime_config_apply_failed	vllm_config	2026-05-06T06:06:33Z
009	controller	runtime_config_apply_failed	runtime_config_apply_failed	vllm_config	2026-05-06T06:08:02Z
010	controller	runtime_config_apply_failed	runtime_config_apply_failed	inference_proxy	2026-05-06T06:16:29Z
011	controller	unsupported_or_missing_serve_config	unsupported_or_missing_serve_config	vllm_config_concurrency	2026-05-06T06:26:10Z
012	controller	speed_below_candidate_acceptance	speed_below_candidate_acceptance	warm_decode_tps	2026-05-06T06:50:44Z
013	controller	throughput_measure_failed	throughput_measure_failed	real_workload_measurement	2026-05-06T07:14:13Z
014	controller	speed_below_candidate_acceptance	speed_below_candidate_acceptance	warm_decode_tps	2026-05-06T07:34:35Z
015	controller	speed_below_candidate_acceptance	speed_below_candidate_acceptance	warm_decode_tps	2026-05-06T08:00:40Z
016	controller	speed_below_candidate_acceptance	speed_below_candidate_acceptance	warm_decode_tps	2026-05-06T08:18:09Z
017	controller	speed_below_candidate_acceptance	speed_below_candidate_acceptance	warm_decode_tps	2026-05-06T08:37:29Z
018	controller	speed_below_candidate_acceptance	speed_below_candidate_acceptance	warm_decode_tps	2026-05-06T08:55:56Z
019	controller	throughput_measure_failed	throughput_measure_failed	real_workload_measurement	2026-05-06T09:11:25Z
020	controller	b1_equivalence_failed	b1_equivalence_failed	controller	2026-05-06T09:32:32Z
021	controller	speed_below_candidate_acceptance	speed_below_candidate_acceptance	warm_decode_tps	2026-05-06T09:50:58Z
022	controller	speed_below_candidate_acceptance	speed_below_candidate_acceptance	warm_decode_tps	2026-05-06T10:09:17Z
023	controller	throughput_measure_failed	throughput_measure_failed	real_workload_measurement	2026-05-06T10:26:44Z
