ts_completed,oracle_session_id,oracle_run_anchor,completion_tokens,decode_tps,accept_ratio,running_before,running_after,gpu_samples,tensor_active_med,sm_issue_med,sms_active_med,power_w
2026-05-31T00:09:50.369Z,sess_10e318590d4e951f,019e7b5c-9814-77e0-aecb-ec75179a8746,163,21.13,0.708,0.0,3.0,165,17.0,6.0,99.0,54.47
2026-05-31T00:09:50.841Z,sess_d58f8764d8b688ec,019e7b5c-9814-7420-991b-f37dc2b6dcf7,141,8.86,0.708,0.0,2.0,169,16.0,6.0,93.0,54.47
2026-05-31T00:09:58.108Z,sess_a88cc29f5608a6c9,019e7b5c-9814-7e32-952f-d6ec47c82da2,219,5.85,0.705,0.0,2.0,242,17.0,6.0,94.0,61.83
2026-05-31T00:09:58.110Z,sess_10e318590d4e951f,019e7b5c-9814-77e0-aecb-ec75179a8746,67,2.25,0.702,3.0,2.0,75,33.0,11.0,94.0,61.83
2026-05-31T00:09:58.554Z,sess_f9bb2067405cd3a1,019e7b5c-9815-7831-871f-ec6bc88d225a,223,4.18,0.711,0.0,1.0,246,17.0,6.0,93.0,61.83
2026-05-31T00:10:07.149Z,sess_d58f8764d8b688ec,019e7b5c-9814-7420-991b-f37dc2b6dcf7,73,1.45,0.738,2.0,3.0,161,37.0,12.0,97.0,88.67
2026-05-31T00:10:12.367Z,sess_f9bb2067405cd3a1,019e7b5c-9815-7831-871f-ec6bc88d225a,62,3.58,0.728,1.0,3.0,136,37.0,12.0,96.0,56.33
2026-05-31T00:10:13.208Z,sess_a88cc29f5608a6c9,019e7b5c-9814-7e32-952f-d6ec47c82da2,74,1.88,0.735,2.0,3.0,148,37.0,12.0,95.0,74.39
2026-05-31T00:10:17.218Z,sess_d58f8764d8b688ec,019e7b5c-9814-7420-991b-f37dc2b6dcf7,97,5.4,0.659,3.0,3.0,97,15.0,5.0,91.0,55.8
2026-05-31T00:10:19.568Z,sess_a88cc29f5608a6c9,019e7b5c-9814-7e32-952f-d6ec47c82da2,72,6.02,0.698,3.0,3.0,62,15.0,5.0,91.0,84.41
2026-05-31T00:10:23.341Z,sess_d58f8764d8b688ec,019e7b5c-9814-7420-991b-f37dc2b6dcf7,64,6.48,0.783,3.0,3.0,58,34.5,11.0,94.0,56.84
2026-05-31T00:10:31.786Z,sess_a88cc29f5608a6c9,019e7b5c-9814-7e32-952f-d6ec47c82da2,79,5.45,0.704,3.0,3.0,121,35.0,12.0,95.0,57.39
2026-05-31T00:10:33.857Z,sess_d58f8764d8b688ec,019e7b5c-9814-7420-991b-f37dc2b6dcf7,63,4.83,0.715,3.0,3.0,102,35.0,12.0,96.0,86.15
2026-05-31T00:10:40.304Z,sess_d58f8764d8b688ec,019e7b5c-9814-7420-991b-f37dc2b6dcf7,86,20.98,0.715,3.0,3.0,63,15.0,5.0,90.0,57.45
2026-05-31T00:10:56.678Z,sess_d58f8764d8b688ec,019e7b5c-9814-7420-991b-f37dc2b6dcf7,128,6.29,0.691,3.0,3.0,161,15.0,5.0,90.0,58.0
2026-05-31T00:11:12.632Z,sess_d58f8764d8b688ec,019e7b5c-9814-7420-991b-f37dc2b6dcf7,100,1.54,0.649,3.0,3.0,156,20.0,7.0,90.0,87.23
2026-05-31T00:11:30.515Z,sess_f9bb2067405cd3a1,019e7b5c-9815-7831-871f-ec6bc88d225a,80,0.36,0.678,3.0,3.0,780,19.0,7.0,94.0,58.37
2026-05-31T00:11:35.599Z,sess_f9bb2067405cd3a1,019e7b5c-9815-7831-871f-ec6bc88d225a,63,19.49,0.582,3.0,3.0,48,15.0,5.0,87.0,58.53
2026-05-31T00:11:40.417Z,sess_f9bb2067405cd3a1,019e7b5c-9815-7831-871f-ec6bc88d225a,66,18.81,0.545,3.0,3.0,45,14.0,4.0,86.0,58.53
2026-05-31T00:11:42.068Z,sess_d58f8764d8b688ec,019e7b5c-9814-7420-991b-f37dc2b6dcf7,152,1.32,0.574,3.0,3.0,292,19.0,7.0,95.0,75.43
2026-05-31T00:11:46.505Z,sess_a88cc29f5608a6c9,019e7b5c-9814-7e32-952f-d6ec47c82da2,519,1.92,0.649,3.0,3.0,745,18.0,7.0,91.0,72.27
2026-05-31T00:12:10.643Z,sess_d58f8764d8b688ec,019e7b5c-9814-7420-991b-f37dc2b6dcf7,257,2.89,0.618,3.0,3.0,184,16.5,5.0,89.0,46.4
2026-05-31T00:12:11.562Z,sess_a88cc29f5608a6c9,019e7b5c-9814-7e32-952f-d6ec47c82da2,230,5.35,0.605,3.0,3.0,140,15.0,5.0,88.0,45.81
2026-05-31T00:13:42.578Z,sess_10e318590d4e951f,019e7b5c-9814-77e0-aecb-ec75179a8746,1266,1.77,0.612,2.0,3.0,1222,19.0,7.0,93.0,45.96
2026-05-31T00:15:11.257Z,sess_f9bb2067405cd3a1,019e7b5c-9815-7831-871f-ec6bc88d225a,1692,2.22,0.632,3.0,3.0,200,25.0,8.0,91.0,56.95
