ts_completed,oracle_session_id,oracle_run_anchor,completion_tokens,decode_tps,accept_ratio,running_before,running_after,gpu_samples,tensor_active_med,sm_issue_med,sms_active_med,power_w
2026-05-30T19:39:58.748Z,sess_bc8384c7e15489b8,019e7a65-9ff8-7323-bbc0-15c728113809,106,10.4,0.768,0.0,3.0,135,14.0,4.0,88.0,52.76
2026-05-30T19:40:03.085Z,sess_db5063153b6d57ef,019e7a65-9ff8-7f00-9451-e8bdc8e52ca3,155,6.92,0.78,0.0,3.0,178,13.0,4.0,87.0,48.53
2026-05-30T19:40:06.222Z,sess_bc8384c7e15489b8,019e7a65-9ff8-7323-bbc0-15c728113809,58,3.46,0.786,3.0,3.0,73,11.0,4.0,85.0,68.31
2026-05-30T19:40:07.778Z,sess_8421bbd7dea80b81,019e7a65-9ffb-71e0-bc4b-57d9b69e11ef,193,4.18,0.779,0.0,3.0,225,13.0,4.0,87.0,61.67
2026-05-30T19:40:11.740Z,sess_bc8384c7e15489b8,019e7a65-9ff8-7323-bbc0-15c728113809,64,2.08,0.871,3.0,2.0,54,13.0,4.0,87.0,53.65
2026-05-30T19:40:11.741Z,sess_db5063153b6d57ef,019e7a65-9ff8-7f00-9451-e8bdc8e52ca3,80,2.27,0.824,3.0,2.0,83,13.0,4.0,87.0,53.65
2026-05-30T19:40:12.155Z,sess_490eefe2746f7243,019e7a65-9ffa-76f1-8f88-2e99a49c952d,255,3.23,0.794,0.0,1.0,269,13.0,4.0,87.0,53.65
2026-05-30T19:40:16.118Z,sess_8421bbd7dea80b81,019e7a65-9ffb-71e0-bc4b-57d9b69e11ef,56,1.41,0.848,3.0,3.0,79,14.0,4.0,89.0,70.12
2026-05-30T19:40:19.466Z,sess_bc8384c7e15489b8,019e7a65-9ff8-7323-bbc0-15c728113809,54,1.47,0.793,2.0,2.0,74,22.0,7.5,89.5,54.25
2026-05-30T19:40:20.429Z,sess_db5063153b6d57ef,019e7a65-9ff8-7f00-9451-e8bdc8e52ca3,64,1.51,0.783,2.0,2.0,84,36.0,12.5,94.0,54.25
2026-05-30T19:40:23.519Z,sess_8421bbd7dea80b81,019e7a65-9ffb-71e0-bc4b-57d9b69e11ef,52,2.55,0.817,3.0,3.0,72,32.0,10.5,92.0,89.49
2026-05-30T19:40:27.648Z,sess_8421bbd7dea80b81,019e7a65-9ffb-71e0-bc4b-57d9b69e11ef,41,14.77,0.813,3.0,3.0,39,13.0,4.0,87.0,54.11
2026-05-30T19:40:27.871Z,sess_bc8384c7e15489b8,019e7a65-9ff8-7323-bbc0-15c728113809,76,3.72,0.815,2.0,2.0,80,14.0,4.0,89.0,54.11
2026-05-30T19:40:31.019Z,sess_490eefe2746f7243,019e7a65-9ffa-76f1-8f88-2e99a49c952d,93,2.01,0.831,1.0,3.0,188,24.5,8.5,90.0,61.92
2026-05-30T19:40:31.464Z,sess_bc8384c7e15489b8,019e7a65-9ff8-7323-bbc0-15c728113809,27,2.21,0.903,2.0,2.0,35,21.0,8.0,89.0,61.92
2026-05-30T19:40:35.551Z,sess_8421bbd7dea80b81,019e7a65-9ffb-71e0-bc4b-57d9b69e11ef,68,2.77,0.89,3.0,3.0,78,23.0,9.0,90.5,54.89
2026-05-30T19:40:37.917Z,sess_db5063153b6d57ef,019e7a65-9ff8-7f00-9451-e8bdc8e52ca3,160,3.29,0.837,2.0,3.0,173,14.0,4.0,89.0,61.38
2026-05-30T19:40:38.969Z,sess_bc8384c7e15489b8,019e7a65-9ff8-7323-bbc0-15c728113809,60,2.22,0.823,2.0,3.0,73,25.0,9.0,91.0,72.4
2026-05-30T19:40:42.713Z,sess_490eefe2746f7243,019e7a65-9ffa-76f1-8f88-2e99a49c952d,94,2.5,0.831,3.0,3.0,114,14.0,4.0,89.0,54.79
2026-05-30T19:40:44.200Z,sess_bc8384c7e15489b8,019e7a65-9ff8-7323-bbc0-15c728113809,54,4.21,0.841,3.0,3.0,51,14.0,4.0,87.0,72.9
2026-05-30T19:40:44.648Z,sess_8421bbd7dea80b81,019e7a65-9ffb-71e0-bc4b-57d9b69e11ef,88,2.17,0.833,3.0,2.0,89,14.0,4.0,88.0,72.9
2026-05-30T19:40:46.968Z,sess_db5063153b6d57ef,019e7a65-9ff8-7f00-9451-e8bdc8e52ca3,76,2.27,0.852,3.0,3.0,89,30.0,10.0,92.0,89.79
2026-05-30T19:40:55.148Z,sess_8421bbd7dea80b81,019e7a65-9ffb-71e0-bc4b-57d9b69e11ef,62,2.5,0.683,2.0,3.0,104,38.5,12.5,94.0,55.17
2026-05-30T19:40:58.371Z,sess_490eefe2746f7243,019e7a65-9ffa-76f1-8f88-2e99a49c952d,67,1.61,0.74,3.0,3.0,155,32.0,12.0,93.0,55.79
2026-05-30T19:41:00.666Z,sess_8421bbd7dea80b81,019e7a65-9ffb-71e0-bc4b-57d9b69e11ef,55,5.66,0.794,3.0,3.0,52,14.0,4.0,87.0,85.55
2026-05-30T19:41:04.447Z,sess_bc8384c7e15489b8,019e7a65-9ff8-7323-bbc0-15c728113809,114,2.17,0.788,3.0,3.0,201,21.0,7.0,89.0,55.2
2026-05-30T19:41:07.158Z,sess_490eefe2746f7243,019e7a65-9ffa-76f1-8f88-2e99a49c952d,83,3.73,0.863,3.0,3.0,86,14.5,4.0,88.0,86.43
2026-05-30T19:41:07.374Z,sess_8421bbd7dea80b81,019e7a65-9ffb-71e0-bc4b-57d9b69e11ef,65,2.75,0.873,3.0,2.0,66,14.5,4.0,87.5,86.43
2026-05-30T19:41:16.630Z,sess_8421bbd7dea80b81,019e7a65-9ffb-71e0-bc4b-57d9b69e11ef,68,4.18,0.693,2.0,3.0,92,40.5,13.0,93.5,56.05
2026-05-30T19:41:22.452Z,sess_490eefe2746f7243,019e7a65-9ffa-76f1-8f88-2e99a49c952d,91,3.38,0.719,2.0,3.0,150,31.0,10.0,91.5,62.58
2026-05-30T19:41:25.286Z,sess_bc8384c7e15489b8,019e7a65-9ff8-7323-bbc0-15c728113809,95,1.92,0.733,3.0,3.0,203,38.0,12.0,93.0,89.59
