ts_completed,oracle_session_id,oracle_run_anchor,completion_tokens,decode_tps,accept_ratio,running_before,running_after,gpu_samples,tensor_active_med,sm_issue_med,sms_active_med,power_w
2026-05-30T20:38:34.676Z,sess_0688ad95dfba3a6e,019e7a9b-3786-7742-9149-c7b4b2d782a1,143,4.61,0.14,0.0,3.0,442,7.0,5.0,82.0,51.49
2026-05-30T20:38:42.207Z,sess_cb1f64b2169a799c,019e7a9b-3786-7c82-868e-7ec71edf86f0,171,3.23,0.148,0.0,3.0,517,7.0,5.0,82.0,51.19
2026-05-30T20:38:42.502Z,sess_3a5b57a2866f794f,019e7a9b-3787-7c51-97ae-a3c069e17349,189,2.06,0.149,0.0,2.0,520,7.0,5.0,82.0,51.19
2026-05-30T20:38:51.676Z,sess_0688ad95dfba3a6e,019e7a9b-3786-7742-9149-c7b4b2d782a1,60,0.81,0.165,3.0,2.0,163,7.0,4.0,71.0,60.89
2026-05-30T20:38:59.273Z,sess_0688ad95dfba3a6e,019e7a9b-3786-7742-9149-c7b4b2d782a1,39,3.24,0.146,2.0,2.0,70,7.5,5.0,82.0,50.36
2026-05-30T20:38:59.594Z,sess_314c5868e9731e38,019e7a9b-3786-70a2-95eb-e6831354efec,265,1.53,0.148,0.0,1.0,691,7.0,5.0,80.0,50.36
2026-05-30T20:39:10.745Z,sess_3a5b57a2866f794f,019e7a9b-3787-7c51-97ae-a3c069e17349,52,0.53,0.14,2.0,3.0,280,8.0,5.0,78.0,92.46
2026-05-30T20:39:21.934Z,sess_cb1f64b2169a799c,019e7a9b-3786-7c82-868e-7ec71edf86f0,64,0.42,0.136,3.0,3.0,396,11.5,6.0,82.0,93.58
2026-05-30T20:39:24.612Z,sess_0688ad95dfba3a6e,019e7a9b-3786-7742-9149-c7b4b2d782a1,72,0.7,0.133,2.0,3.0,251,23.0,13.0,94.0,55.99
2026-05-30T20:39:26.938Z,sess_314c5868e9731e38,019e7a9b-3786-70a2-95eb-e6831354efec,69,1.19,0.133,1.0,2.0,272,24.0,14.0,94.0,94.22
2026-05-30T20:39:34.970Z,sess_cb1f64b2169a799c,019e7a9b-3786-7c82-868e-7ec71edf86f0,46,1.28,0.155,3.0,3.0,129,30.0,17.0,97.0,82.16
2026-05-30T20:39:35.269Z,sess_3a5b57a2866f794f,019e7a9b-3787-7c51-97ae-a3c069e17349,54,0.81,0.144,3.0,2.0,243,30.0,17.0,95.0,53.5
2026-05-30T20:39:45.783Z,sess_cb1f64b2169a799c,019e7a9b-3786-7c82-868e-7ec71edf86f0,45,2.22,0.146,3.0,3.0,107,29.0,16.0,94.0,54.07
2026-05-30T20:39:46.383Z,sess_0688ad95dfba3a6e,019e7a9b-3786-7742-9149-c7b4b2d782a1,80,1.43,0.146,3.0,2.0,217,28.0,16.0,95.0,53.91
2026-05-30T20:40:13.302Z,sess_0688ad95dfba3a6e,019e7a9b-3786-7742-9149-c7b4b2d782a1,72,1.19,0.121,2.0,3.0,267,28.0,17.0,94.0,54.18
2026-05-30T20:40:31.244Z,sess_3a5b57a2866f794f,019e7a9b-3787-7c51-97ae-a3c069e17349,243,2.08,0.132,2.0,3.0,411,26.0,16.0,94.0,41.71
2026-05-30T20:40:54.941Z,sess_cb1f64b2169a799c,019e7a9b-3786-7c82-868e-7ec71edf86f0,369,2.06,0.132,3.0,3.0,307,24.0,15.0,94.0,41.65
2026-05-30T20:43:26.136Z,sess_314c5868e9731e38,019e7a9b-3786-70a2-95eb-e6831354efec,878,1.4,0.135,2.0,3.0,497,27.0,16.0,95.0,42.18
2026-05-30T20:45:43.460Z,sess_0688ad95dfba3a6e,019e7a9b-3786-7742-9149-c7b4b2d782a1,1604,1.51,0.137,3.0,3.0,33,10.0,6.0,85.0,43.02
