ts_completed,oracle_session_id,oracle_run_anchor,completion_tokens,decode_tps,accept_ratio,running_before,running_after,gpu_samples,tensor_active_med,sm_issue_med,sms_active_med,power_w
2026-05-30T22:55:00.037Z,sess_8a0cc0c0d8d83cda,019e7b18-810e-7621-b2c7-1f0197745990,96,5.31,0.128,0.0,3.0,192,18.0,7.0,95.0,51.82
2026-05-30T22:55:09.323Z,sess_c4d6e540fb52f3e2,019e7b18-810d-7513-b1eb-75ead5bd9e91,132,3.43,0.135,0.0,3.0,285,18.0,7.0,89.0,52.62
2026-05-30T22:55:13.457Z,sess_ca1f6a4943df4aeb,019e7b18-810d-7b81-aa1d-52cb4cf95e53,176,2.69,0.138,0.0,3.0,326,18.0,7.0,89.5,87.61
2026-05-30T22:55:15.821Z,sess_8a0cc0c0d8d83cda,019e7b18-810e-7621-b2c7-1f0197745990,63,1.1,0.148,3.0,3.0,156,23.5,13.0,89.0,66.48
2026-05-30T22:55:23.699Z,sess_365b4fc79518cc39,019e7b18-810c-7102-8d4e-37b1b472b002,138,1.37,0.134,0.0,3.0,429,19.0,7.0,94.0,53.47
2026-05-30T22:55:27.123Z,sess_8a0cc0c0d8d83cda,019e7b18-810e-7621-b2c7-1f0197745990,39,1.24,0.126,3.0,3.0,112,32.0,17.0,95.0,88.77
2026-05-30T22:55:32.063Z,sess_ca1f6a4943df4aeb,019e7b18-810d-7b81-aa1d-52cb4cf95e53,52,1.02,0.132,3.0,3.0,183,32.0,18.0,95.0,92.52
2026-05-30T22:55:37.043Z,sess_365b4fc79518cc39,019e7b18-810c-7102-8d4e-37b1b472b002,48,1.85,0.145,3.0,3.0,132,31.0,17.0,96.0,74.06
2026-05-30T22:55:39.284Z,sess_c4d6e540fb52f3e2,019e7b18-810d-7513-b1eb-75ead5bd9e91,108,0.98,0.135,3.0,3.0,297,31.0,17.0,95.0,63.14
2026-05-30T22:55:49.543Z,sess_365b4fc79518cc39,019e7b18-810c-7102-8d4e-37b1b472b002,50,1.45,0.124,3.0,3.0,123,31.0,17.0,95.0,55.17
2026-05-30T22:55:58.468Z,sess_ca1f6a4943df4aeb,019e7b18-810d-7b81-aa1d-52cb4cf95e53,84,0.97,0.123,3.0,3.0,261,31.0,17.0,95.0,79.28
2026-05-30T22:56:03.778Z,sess_365b4fc79518cc39,019e7b18-810c-7102-8d4e-37b1b472b002,56,1.08,0.128,3.0,3.0,141,29.0,16.0,96.0,54.94
2026-05-30T22:56:09.390Z,sess_ca1f6a4943df4aeb,019e7b18-810d-7b81-aa1d-52cb4cf95e53,58,3.02,0.15,3.0,3.0,109,10.0,5.0,87.0,92.79
2026-05-30T22:56:12.453Z,sess_c4d6e540fb52f3e2,019e7b18-810d-7513-b1eb-75ead5bd9e91,98,1.13,0.134,3.0,2.0,330,29.0,17.0,95.0,92.61
2026-05-30T22:56:26.865Z,sess_365b4fc79518cc39,019e7b18-810c-7102-8d4e-37b1b472b002,106,2.3,0.147,3.0,2.0,226,18.5,11.5,89.5,93.6
2026-05-30T22:56:30.668Z,sess_ca1f6a4943df4aeb,019e7b18-810d-7b81-aa1d-52cb4cf95e53,82,1.57,0.145,3.0,2.0,208,29.5,17.0,95.0,89.57
2026-05-30T22:57:13.596Z,sess_365b4fc79518cc39,019e7b18-810c-7102-8d4e-37b1b472b002,83,0.78,0.141,2.0,3.0,406,29.0,16.0,94.0,43.07
2026-05-30T22:57:15.054Z,sess_c4d6e540fb52f3e2,019e7b18-810d-7513-b1eb-75ead5bd9e91,60,0.44,0.142,2.0,3.0,548,27.0,16.0,94.0,76.57
2026-05-30T22:59:37.633Z,sess_ca1f6a4943df4aeb,019e7b18-810d-7b81-aa1d-52cb4cf95e53,1169,2.62,0.144,2.0,3.0,368,25.0,14.5,94.0,54.67
2026-05-30T23:00:18.990Z,sess_8a0cc0c0d8d83cda,019e7b18-810e-7621-b2c7-1f0197745990,1316,1.49,0.144,3.0,2.0,1003,29.0,16.0,95.0,81.89
