
(APIServer pid=1) INFO:     Waiting for application startup.
(APIServer pid=1) INFO 07-31 22:07:20 [loggers.py:271] Engine 000: Avg prompt throughput: 4604.5 tokens/s, Avg generation throughput: 3.0 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 79.3%, Prefix cache hit rate: 44.4%
(APIServer pid=1) INFO 07-31 22:07:30 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 12.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 79.3%, Prefix cache hit rate: 50.0%
(APIServer pid=1) INFO 07-31 22:07:40 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 12.7 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 79.3%, Prefix cache hit rate: 53.0%
(APIServer pid=1) INFO 07-31 22:07:50 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 8.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 78.3%, Prefix cache hit rate: 54.7%
(APIServer pid=1) INFO 07-31 22:08:00 [loggers.py:271] Engine 000: Avg prompt throughput: 853.2 tokens/s, Avg generation throughput: 5.1 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 79.3%, Prefix cache hit rate: 55.8%
(APIServer pid=1) INFO 07-31 22:08:10 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 11.5 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 79.3%, Prefix cache hit rate: 56.7%
(APIServer pid=1) INFO 07-31 22:08:20 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 5.7 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 75.3%, Prefix cache hit rate: 57.2%
(APIServer pid=1) INFO 07-31 22:08:30 [loggers.py:271] Engine 000: Avg prompt throughput: 868.7 tokens/s, Avg generation throughput: 8.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 74.0%, Prefix cache hit rate: 56.5%
(APIServer pid=1) INFO 07-31 22:08:40 [loggers.py:271] Engine 000: Avg prompt throughput: 929.4 tokens/s, Avg generation throughput: 7.2 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 75.0%, Prefix cache hit rate: 53.4%
(APIServer pid=1) INFO 07-31 22:08:50 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 10.7 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 74.3%, Prefix cache hit rate: 49.4%
(APIServer pid=1) INFO 07-31 22:09:00 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 6.6 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 77.3%, Prefix cache hit rate: 46.1%
(APIServer pid=1) INFO 07-31 22:09:10 [loggers.py:271] Engine 000: Avg prompt throughput: 1396.5 tokens/s, Avg generation throughput: 4.5 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 73.0%, Prefix cache hit rate: 43.9%
(APIServer pid=1) INFO 07-31 22:09:20 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 4.2 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.0%, Prefix cache hit rate: 44.5%
(APIServer pid=1) INFO 07-31 22:09:30 [loggers.py:271] Engine 000: Avg prompt throughput: 2320.1 tokens/s, Avg generation throughput: 10.6 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.3%, Prefix cache hit rate: 45.5%
(APIServer pid=1) INFO 07-31 22:09:40 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 6.1 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 73.7%, Prefix cache hit rate: 45.6%
(APIServer pid=1) INFO 07-31 22:09:50 [loggers.py:271] Engine 000: Avg prompt throughput: 2031.1 tokens/s, Avg generation throughput: 1.7 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.7%, Prefix cache hit rate: 43.9%
(APIServer pid=1) INFO 07-31 22:10:00 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 10.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 75.7%, Prefix cache hit rate: 41.6%
(APIServer pid=1) INFO 07-31 22:10:10 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 4.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 71.3%, Prefix cache hit rate: 39.5%
(APIServer pid=1) INFO 07-31 22:10:20 [loggers.py:271] Engine 000: Avg prompt throughput: 1758.1 tokens/s, Avg generation throughput: 1.0 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 75.0%, Prefix cache hit rate: 39.0%
(APIServer pid=1) INFO 07-31 22:10:30 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 3.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 78.0%, Prefix cache hit rate: 39.7%
(APIServer pid=1) INFO 07-31 22:10:40 [loggers.py:271] Engine 000: Avg prompt throughput: 2584.9 tokens/s, Avg generation throughput: 8.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 78.7%, Prefix cache hit rate: 40.5%
(APIServer pid=1) INFO 07-31 22:10:50 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 17.2 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 78.7%, Prefix cache hit rate: 41.4%
(APIServer pid=1) INFO 07-31 22:11:00 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 14.7 tokens/s, Running: 1 reqs, Waiting: 2 reqs, GPU KV cache usage: 40.7%, Prefix cache hit rate: 42.2%
(APIServer pid=1) INFO 07-31 22:11:10 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 3.4 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 77.0%, Prefix cache hit rate: 42.8%
(APIServer pid=1) INFO 07-31 22:11:20 [loggers.py:271] Engine 000: Avg prompt throughput: 1092.8 tokens/s, Avg generation throughput: 9.4 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.3%, Prefix cache hit rate: 43.4%
(APIServer pid=1) INFO 07-31 22:11:30 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 11.3 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.3%, Prefix cache hit rate: 44.0%
(APIServer pid=1) INFO 07-31 22:11:40 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 12.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.3%, Prefix cache hit rate: 44.6%
(APIServer pid=1) INFO 07-31 22:11:50 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 11.9 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.3%, Prefix cache hit rate: 45.1%
(APIServer pid=1) INFO 07-31 22:12:00 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 10.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 77.7%, Prefix cache hit rate: 45.6%
(APIServer pid=1) INFO 07-31 22:12:10 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 10.0 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.7%, Prefix cache hit rate: 46.1%
(APIServer pid=1) INFO 07-31 22:12:20 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 9.7 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.7%, Prefix cache hit rate: 46.5%
(APIServer pid=1) INFO 07-31 22:12:30 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 17.2 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.7%, Prefix cache hit rate: 46.8%
(APIServer pid=1) INFO 07-31 22:12:40 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 3.4 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.7%, Prefix cache hit rate: 45.7%
(APIServer pid=1) INFO 07-31 22:12:50 [loggers.py:271] Engine 000: Avg prompt throughput: 1083.2 tokens/s, Avg generation throughput: 9.2 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.3%, Prefix cache hit rate: 44.0%
(APIServer pid=1) INFO 07-31 22:13:00 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 7.9 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.7%, Prefix cache hit rate: 42.4%
(APIServer pid=1) INFO 07-31 22:13:10 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 11.5 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 77.7%, Prefix cache hit rate: 40.8%
(APIServer pid=1) INFO 07-31 22:13:20 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 9.3 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 76.7%, Prefix cache hit rate: 39.4%
(APIServer pid=1) INFO 07-31 22:13:30 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 3.1 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 78.7%, Prefix cache hit rate: 38.6%
(APIServer pid=1) INFO 07-31 22:13:40 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 3.1 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 81.7%, Prefix cache hit rate: 37.8%
(APIServer pid=1) INFO 07-31 22:13:50 [loggers.py:271] Engine 000: Avg prompt throughput: 2958.9 tokens/s, Avg generation throughput: 4.1 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 82.7%, Prefix cache hit rate: 36.9%
(APIServer pid=1) INFO 07-31 22:14:00 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 9.4 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 84.0%, Prefix cache hit rate: 35.9%
(APIServer pid=1) INFO 07-31 22:14:10 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 14.1 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 83.0%, Prefix cache hit rate: 35.0%
(APIServer pid=1) INFO 07-31 22:14:20 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 10.9 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 83.0%, Prefix cache hit rate: 34.0%
(APIServer pid=1) INFO 07-31 22:14:30 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 5.4 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 77.0%, Prefix cache hit rate: 33.6%
(APIServer pid=1) INFO 07-31 22:14:40 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 4.1 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 80.0%, Prefix cache hit rate: 33.8%
(APIServer pid=1) INFO 07-31 22:14:50 [loggers.py:271] Engine 000: Avg prompt throughput: 2595.9 tokens/s, Avg generation throughput: 3.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 81.7%, Prefix cache hit rate: 34.2%
(APIServer pid=1) INFO 07-31 22:15:00 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 11.3 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 81.7%, Prefix cache hit rate: 34.8%
(APIServer pid=1) INFO 07-31 22:15:10 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 13.8 tokens/s, Running: 1 reqs, Waiting: 2 reqs, GPU KV cache usage: 41.0%, Prefix cache hit rate: 35.2%
(APIServer pid=1) INFO 07-31 22:15:20 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 2.7 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 77.3%, Prefix cache hit rate: 34.4%
(APIServer pid=1) INFO 07-31 22:15:30 [loggers.py:271] Engine 000: Avg prompt throughput: 1180.8 tokens/s, Avg generation throughput: 7.6 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 77.0%, Prefix cache hit rate: 33.3%
(APIServer pid=1) INFO 07-31 22:15:40 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 11.0 tokens/s, Running: 1 reqs, Waiting: 2 reqs, GPU KV cache usage: 41.0%, Prefix cache hit rate: 32.2%
(APIServer pid=1) INFO 07-31 22:15:50 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 3.7 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 77.7%, Prefix cache hit rate: 31.6%
(APIServer pid=1) INFO 07-31 22:16:00 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 2.8 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 80.7%, Prefix cache hit rate: 31.1%
(APIServer pid=1) INFO 07-31 22:16:10 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 3.7 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 83.7%, Prefix cache hit rate: 30.7%
(APIServer pid=1) INFO 07-31 22:16:20 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 2.5 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 86.3%, Prefix cache hit rate: 30.3%
(APIServer pid=1) INFO 07-31 22:16:30 [loggers.py:271] Engine 000: Avg prompt throughput: 4042.2 tokens/s, Avg generation throughput: 6.4 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 86.3%, Prefix cache hit rate: 29.7%
(APIServer pid=1) INFO 07-31 22:16:40 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 8.6 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 86.3%, Prefix cache hit rate: 29.1%
(APIServer pid=1) INFO 07-31 22:16:50 [loggers.py:271] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 13.2 tokens/s, Running: 2 reqs, Waiting: 2 reqs, GPU KV cache usage: 86.3%, Prefix cache hit rate: 28.6%
