family	dtype	slots	stl	ldl	qmma	ffma	fmul	ldsm	stsm	output_packs	syncs	section_sha256
stock	fp16	1176	0	0	32	32	24	24	4	8	77	dedd3335c354f2cf7aef75ef2cfe2e914c1a67adf42b6a7f2dc98b0d3dc9cf8e
stock	bf16	1176	0	0	32	32	24	24	4	8	77	abcc11ab4dab06fca7a7bc043722193f1d0af950e6e0883ba19e536ad0928eeb
generic_static	fp16	936	0	0	32	32	24	24	4	8	38	4fec440937273035c04fc40b60fe466c1941e0c4861df61944df16adfe779b0d
generic_static	bf16	936	0	0	32	32	24	24	4	8	38	3b577efbd31bdf6705d154cb9a35bc071b2b219683671aa79b1ad099f6734f22
direct_v1	fp16	664	1	3	32	32	24	24	4	8	38	e339b728781ea71cac635458c8e3594dc28ff5087b31e889f19bfe3661818192
direct_v1	bf16	664	1	3	32	32	24	24	4	8	38	606f76109e45fb7756894d640506bf003cb7e16ad6eaf4223a748c2d5f45d28e
direct_v2	fp16	648	0	0	32	32	24	24	4	8	38	d5dbd6b1a4f73e829de6f6797b1261fd5216cd96e2b38c95de93f001f7956696
direct_v2	bf16	648	0	0	32	32	24	24	4	8	38	0880fc0141e572e7d5088d27cf6e43fbfe2131a180e1400b2ce17fbef822e7b7
direct_v3	fp16	648	0	0	32	32	24	24	4	8	38	d5dbd6b1a4f73e829de6f6797b1261fd5216cd96e2b38c95de93f001f7956696
direct_v3	bf16	648	0	0	32	32	24	24	4	8	38	0880fc0141e572e7d5088d27cf6e43fbfe2131a180e1400b2ce17fbef822e7b7
