index	arch	prior_bytes	integrated_bytes	prior_sha256	integrated_sha256	byte_equal
1	sm_121a	2256	2256	75a2da43856a04cdde3ac88988615ea28dacc35fb99a870aee2f3f2fa053cf23	75a2da43856a04cdde3ac88988615ea28dacc35fb99a870aee2f3f2fa053cf23	true
2	sm_121a	8352	8352	1e9874c7519ffbf4e66112bae23dcc569b9bcaa87e717a1ee3318cdb279d3ab9	1e9874c7519ffbf4e66112bae23dcc569b9bcaa87e717a1ee3318cdb279d3ab9	true
3	sm_121a	8408	8408	008989aed516c9abfd08d9734f492b27ac5d85b7a5604835cf55f4f52adec438	008989aed516c9abfd08d9734f492b27ac5d85b7a5604835cf55f4f52adec438	true
4	sm_121a	8528	8528	737d1779cc2993ffef72e878c1f03dd7b2430417e878d8b71c53c2b423a37b13	737d1779cc2993ffef72e878c1f03dd7b2430417e878d8b71c53c2b423a37b13	true
5	sm_121a	19136	19136	0ca94069ffb2bef30995cb442e113c381687f8424fe721cc0491504fb7a6a5c6	0ca94069ffb2bef30995cb442e113c381687f8424fe721cc0491504fb7a6a5c6	true
6	sm_121a	1303248	1303248	29da5c78e6ae434c865c2b90949cd2cf0182a7c4e968c4f081bb1347fcb62597	29da5c78e6ae434c865c2b90949cd2cf0182a7c4e968c4f081bb1347fcb62597	true
7	sm_121a	8528	8528	ff034bf7c05eaa0ee3123354e03948caed0760236c794fc7f673591afc1c0446	ff034bf7c05eaa0ee3123354e03948caed0760236c794fc7f673591afc1c0446	true
8	sm_121a	8472	8472	7c154dcf931e722923525f9e166826e3763c435ea3a9a3c8648de8d98209d2c5	7c154dcf931e722923525f9e166826e3763c435ea3a9a3c8648de8d98209d2c5	true
9	sm_121a	407848	407848	9420b924e33311d8b3c3db004c1ca7c251461e2df8162e09e442a05ea96014b2	9420b924e33311d8b3c3db004c1ca7c251461e2df8162e09e442a05ea96014b2	true
10	sm_121a	1298016	1284576	ada74cc48aa3f7cd14ee7f940b8201a93aa482a3f759659cf1dbe7f4f4b2ccf6	ab7a01eb10c951549bc1e91e571d3c4418bf62ae83b5c87de7a1422afd4c83cd	false
11	sm_89	65167600	65167600	8b6ebe67d5771d81a72a9201bbddb507ccfa9ce1e8cb0f111e9014ce55bb63a1	8b6ebe67d5771d81a72a9201bbddb507ccfa9ce1e8cb0f111e9014ce55bb63a1	true
12	sm_121a	73008	73008	324dfb9d68fabb758cb9e11795e0d1103d7e3fb20ea1022f3bc5ee2bdc4b5876	324dfb9d68fabb758cb9e11795e0d1103d7e3fb20ea1022f3bc5ee2bdc4b5876	true
13	sm_121a	31240	31240	880eebe59324aa17976a6c55eda7073c9f0412004606b80f03e449c758ba1f75	880eebe59324aa17976a6c55eda7073c9f0412004606b80f03e449c758ba1f75	true
14	sm_121a	24224	24224	641948436fc9d3806e40fb11590942fe6e6ad61919c86b4a9576b7658d744cc3	641948436fc9d3806e40fb11590942fe6e6ad61919c86b4a9576b7658d744cc3	true
15	sm_121a	160248	160248	d30c5bf4de0a66ae1d55bf399b6fea925130af1cdb4c6ad4061c284231815b48	d30c5bf4de0a66ae1d55bf399b6fea925130af1cdb4c6ad4061c284231815b48	true
16	sm_121a	508296	508296	3008f9d9c7fd1693d53a2dd36bca37707147ecd6348042e12036721e01336744	3008f9d9c7fd1693d53a2dd36bca37707147ecd6348042e12036721e01336744	true
17	sm_121a	174696	174696	261dd2f6a3ab1c0806f47be337819704862ae4316ca1ab2bb8249284792eaa67	261dd2f6a3ab1c0806f47be337819704862ae4316ca1ab2bb8249284792eaa67	true
