function_index	role	prior_sha256	integrated_sha256	byte_equal
1	fp16_stock_m128x32	dedd3335c354f2cf7aef75ef2cfe2e914c1a67adf42b6a7f2dc98b0d3dc9cf8e	dedd3335c354f2cf7aef75ef2cfe2e914c1a67adf42b6a7f2dc98b0d3dc9cf8e	true
2	fp16_stock_auto	d238f1f3eb5ede514cda8267bd20354501edbf82270c700cf570fe1c4355b0ea	d238f1f3eb5ede514cda8267bd20354501edbf82270c700cf570fe1c4355b0ea	true
3	fp16_stock_pingpong	d0fdf781edb4d10d6f874c2f3e27afe0fd3b60d63a856906240a50a65041d8c1	d0fdf781edb4d10d6f874c2f3e27afe0fd3b60d63a856906240a50a65041d8c1	true
4	fp16_static_m128_candidate	9cf989eaa9993e66dc9da8a00293c94c50a3bc00e01d7fd08d1dc0454a6df91a	0233bd22ec847a2291055363aae5d35b8f74916880dcbb20cbde33d97224e423	false
5	fp16_dynamic_persistent_m128	3155e6e9ff1e34d1783b0f3820e9edbc15d619eb72d837c391ddb3c9d901f86a	3155e6e9ff1e34d1783b0f3820e9edbc15d619eb72d837c391ddb3c9d901f86a	true
6	fp16_streamk_wide256	ba4ec25673e1b2c1849ae04b43e874d92628fff65ca63e5650f0158924a6bd39	ba4ec25673e1b2c1849ae04b43e874d92628fff65ca63e5650f0158924a6bd39	true
7	fp16_streamk_m128	b86b6cd53dc7b51d75d31628ca93b7188f6e070283e83bb34c9eca02e4678c1f	b86b6cd53dc7b51d75d31628ca93b7188f6e070283e83bb34c9eca02e4678c1f	true
8	fp16_streamk_m128x32	f5a606ffb50e5cd2df2ffcd6d490fe80db2d53b3c7d81c450fa8eba46edd3f41	f5a606ffb50e5cd2df2ffcd6d490fe80db2d53b3c7d81c450fa8eba46edd3f41	true
9	bf16_stock_m128x32	abcc11ab4dab06fca7a7bc043722193f1d0af950e6e0883ba19e536ad0928eeb	abcc11ab4dab06fca7a7bc043722193f1d0af950e6e0883ba19e536ad0928eeb	true
10	bf16_stock_auto	3014a9f746095dbeb3900138e8204d6691957e366b85f83efeb5344c89b49a2d	3014a9f746095dbeb3900138e8204d6691957e366b85f83efeb5344c89b49a2d	true
11	bf16_stock_pingpong	6437c28fae77423413c39c2c7d7119c457d4f4a05e0f41ea7e9d611cca64bb9f	6437c28fae77423413c39c2c7d7119c457d4f4a05e0f41ea7e9d611cca64bb9f	true
12	bf16_static_m128_candidate	00f5c84e4993c8b0830f00fd3a2a7d33d244a66235fb9a7f3ac4eaa32e80862e	d4f63382ddfd67be120764e4060340e92c0ff39cfdb36a171730818ef68176d2	false
13	bf16_dynamic_persistent_m128	3b1c623bdcf12601ee205f86ec9a9f80546e2ff9619dfdd9f8d8dc18cee88f25	3b1c623bdcf12601ee205f86ec9a9f80546e2ff9619dfdd9f8d8dc18cee88f25	true
14	bf16_streamk_wide256	a1968ceef99d466780ada55bf58c109378d2dc8895f307dc54141e3d216afe4e	a1968ceef99d466780ada55bf58c109378d2dc8895f307dc54141e3d216afe4e	true
15	bf16_streamk_m128	cc0008e46fcf86fca4b7fb950a0554c4954aa7c6e187ce1d0ff6375c90719a4e	cc0008e46fcf86fca4b7fb950a0554c4954aa7c6e187ce1d0ff6375c90719a4e	true
16	bf16_streamk_m128x32	ff2722c7c20f5ed318fb2ecde6c6335d9f2da4a59c8030d908885f3b44e1a9a0	ff2722c7c20f5ed318fb2ecde6c6335d9f2da4a59c8030d908885f3b44e1a9a0	true
