opcode	prior_static	integrated	delta
BRA	31	27	-4
BRA.U	15	9	-6
CS2R	32	31	-1
IADD.64	3	2	-1
IADD3	30	18	-12
IMAD	5	2	-3
IMAD.SHL.U32	7	6	-1
IMAD.WIDE	1	0	-1
ISETP.GT.U32.AND	2	0	-2
ISETP.LE.U64.AND	1	0	-1
ISETP.LT.U32.AND	1	0	-1
ISETP.NE.AND	9	6	-3
ISETP.NE.S64.AND	1	0	-1
LDC	6	2	-4
LDC.64	3	0	-3
LDCU	42	18	-24
LDCU.128	3	0	-3
LDCU.64	35	9	-26
LDG.E	2	0	-2
LEA	10	4	-6
LEA.HI	1	0	-1
LOP3.LUT	35	32	-3
MOV	24	22	-2
NOP	40	39	-1
NOP;	10	13	3
PRMT	2	0	-2
R2UR	2	0	-2
S2R	8	6	-2
S2UR	7	9	2
SEL	10	4	-6
SHF.R.S32.HI	2	0	-2
SHF.R.U32.HI	4	3	-1
UIADD3	110	88	-22
UIADD3.64	22	14	-8
UIADD3.X	12	0	-12
UIMAD	25	3	-22
UIMAD.WIDE.U32	33	5	-28
UIMAD.WIDE.U32.X	8	0	-8
UISETP.GE.U64.AND	6	4	-2
UISETP.GT.U32.AND	2	4	2
UISETP.LT.U32.AND	1	2	1
UISETP.NE.AND	6	10	4
UISETP.NE.S64.AND	11	1	-10
ULEA	10	18	8
ULEA.HI	1	2	1
ULOP3.LUT	12	9	-3
UMOV	73	57	-16
UPLOP3.LUT	0	2	2
UPRMT	0	2	2
USEL	12	10	-2
USEL.64	8	6	-2
USHF.L.U32	23	14	-9
USHF.R.S32.HI	3	4	1
USHF.R.U32.HI	17	2	-15
USHF.R.U64	20	0	-20
UVIMNMX.S32	1	2	1
VIMNMX.S32	1	0	-1
