metric	value	unit
tasks	1	count
tasks_resolved	1	count
spec_draft_events	968	count
accepted_draft_tokens	3536	count
accepted_drafts_per_event	3.652892561983	tokens/event
committed_tokens_per_event	4.652892561983	tokens/event
full_step_wall	227.275578841	ms/step
wall_tps	20.472470407	tokens/s
sfwd_gpu	154.845098758	ms/step
dfwd_gpu	35.797077647	ms/step
cfwd_gpu	23.717760634	ms/step
gpu_component_sum	214.359937039	ms/step
gpu_component_tps	21.705980260	tokens/s
mandatory_weight_floor	119.658015414	ms/step
floor_ratio	1.899376135	x
one_sided_u95_cap	137.606717726	ms/step
cap_ratio	1.651631422	x
prior_stock_full_step_wall	241.709000000	ms/step
prior_stock_accepted_drafts_per_event	4.890000000	tokens/event
prior_stock_wall_tps	24.367000000	tokens/s
wall_tps_change_vs_prior_stock	-15.982802944	percent
