metric	value	unit
tasks	1	count
tasks_resolved	1	count
spec_draft_events	462	count
draft_tokens_per_event	31	tokens/event
accepted_draft_tokens	2154	count
accepted_drafts_per_event	4.662337662338	tokens/event
committed_tokens_per_event	5.662337662338	tokens/event
full_step_wall	227.239326525	ms/step
wall_tps	24.917947738	tokens/s
sfwd_gpu	153.532290546	ms/step
dfwd_gpu	36.874839588	ms/step
cfwd_gpu	27.234862945	ms/step
gpu_component_sum	217.641993079	ms/step
gpu_component_tps	26.016751557	tokens/s
mandatory_weight_floor	119.658015414	ms/step
floor_ratio	1.899073169	x
one_sided_u95_cap	137.606717726	ms/step
cap_ratio	1.651367973	x
prior_stock_full_step_wall	241.709000000	ms/step
prior_stock_accepted_drafts_per_event	4.890000000	tokens/event
prior_stock_wall_tps	24.367000000	tokens/s
wall_tps_change_vs_prior_stock	2.261040497	percent
prior_pair8_full_step_wall	227.275578841	ms/step
prior_pair8_accepted_drafts_per_event	3.652892561983	tokens/event
prior_pair8_wall_tps	20.472470407	tokens/s
wall_tps_change_vs_prior_pair8	21.714415715	percent
