category	opcode_or_family	incumbent	candidate	delta
total	SASS_TEXT_SLOTS	5064	5000	-64
preserved	HMMA	512	512	0
preserved	FFMA	132	132	0
preserved	FMUL	264	264	0
preserved	LDGSTS	336	336	0
preserved	LDSM	288	288	0
preserved	LDG	75	75	0
preserved	STG	38	38	0
preserved	BRA	89	89	0
preserved	MUFU_RCP	67	67	0
preserved	CALL	0	0	0
address	LEA	281	282	1
address	ULEA	20	12	-8
address	LEA_FAMILY	301	294	-7
address	IMAD	280	261	-19
address	UIMAD	57	49	-8
address	IMAD_FAMILY	337	310	-27
address	IADD	67	63	-4
address	IADD3	229	219	-10
address	UIADD3	35	31	-4
address	IADD3_FAMILY	264	250	-14
address	LOP3	55	58	3
address	PLOP3	11	11	0
address	ULOP3	7	7	0
address	LOP3_FAMILY	73	76	3
