opcode	qrow16_static	qrow32_b1_no_split	candidate_minus_baseline	qrow16_event_warp_proxy	qrow32_event_warp_proxy
HMMA	512	512	0	24576	24576
FFMA	132	132	0	6336	6336
FMUL	264	264	0	12672	12672
LDGSTS	336	176	-160	16128	8448
LDSM	288	288	0	13824	13824
STG	38	38	0	1824	1824
LDG	75	68	-7	3600	3264
LEA	282	192	-90	13536	9216
IMAD	261	245	-16	12528	11760
IADD	63	42	-21	3024	2016
IADD3	219	190	-29	10512	9120
UIADD3	31	4	-27	1488	192
ISETP	212	115	-97	10176	5520
LOP3	58	60	2	2784	2880
CALL	0	0	0	0	0
LDL	0	0	0	0	0
STL	0	0	0	0	0
TOTAL	5000	3984	-1016	240000	191232
