opcode	qrow16_static	qrow16_launch_proxy	qrow32_no_split_static	qrow32_no_split_launch_proxy	split2_main_static	split2_main_launch_proxy	combine_static	combine_launch_proxy	split2_context_adjusted_main
HMMA	512	24576	512	24576	512	49152	0	0	24576
FFMA	132	6336	132	6336	132	12672	41	31488	NA
FMUL	264	12672	264	12672	264	25344	2	1536	NA
LDGSTS	336	16128	176	8448	176	16896	0	0	8448
LDSM	288	13824	288	13824	288	27648	0	0	13824
STG	38	1824	38	1824	38	3648	4	3072	NA
LDG	75	3600	68	3264	68	6528	11	8448	NA
LEA	282	13536	192	9216	55	5280	15	11520	NA
IMAD	261	12528	245	11760	165	15840	179	137472	NA
IADD	63	3024	42	2016	38	3648	18	13824	NA
IADD3	219	10512	190	9120	198	19008	201	154368	NA
UIADD3	31	1488	4	192	1	96	12	9216	NA
ISETP	212	10176	115	5520	119	11424	106	81408	NA
LOP3	58	2784	60	2880	63	6048	55	42240	NA
CALL	0	0	0	0	0	0	7	5376	NA
LDL	0	0	0	0	0	0	0	0	NA
STL	0	0	0	0	0	0	0	0	NA
TOTAL	5000	240000	3984	191232	3656	350976	1096	841728	NA
