metric	stock_b4_bm64	qrow32_bm32	gqa_pair_bm64	pair_vs_qrow32	classification
ctas_per_layer	96	96	48	0.5	exact_source_geometry
ctas_per_16_layer_replay	1536	1536	768	0.5	exact_source_geometry
query_heads_per_cta	1	1	2	2.0	exact_source_geometry
threads_per_cta	128	64	128	2.0	exact_source_geometry
threads_per_layer	12288	6144	6144	1.0	exact_arithmetic
warps_per_cta	4	2	4	2.0	exact_source_geometry
warps_per_layer	384	192	192	1.0	exact_arithmetic
logical_valid_query_rows_per_layer	3072	3072	3072	1.0	exact_arithmetic
out_of_extent_query_rows_computed_per_layer	3072	0	0	1.0	exact_source_geometry
kv_scan_ctas_per_batch_kv_head	6	6	3	0.5	exact_source_geometry
q_staging_bytes_per_cta	32768	16384	32768	2.0	exact_trait_value
kv_staging_bytes_per_cta_per_tile	65536	65536	65536	1.0	exact_trait_value
dynamic_shared_bytes_per_cta	98304	81920	98304	1.2	exact_trait_value
aggregate_dynamic_shared_request_per_layer	9437184	7864320	4718592	0.6	derived_not_residency
split_k_main_launches_per_layer	0	0	0	1.0	exact_source_geometry
combine_launches_per_layer	0	0	0	1.0	exact_source_geometry
kernel_launches_per_layer	1	1	1	1.0	exact_source_geometry
measured_dram_bytes	NA	NA	NA	NA	unmeasured
measured_kernel_time	NA	NA	NA	NA	unmeasured
measured_full_step_tps	NA	NA	NA	NA	unmeasured
