route	opcode	incumbent	candidate	delta
B4_qrow32	HMMA.16816.F32.BF16	512	512	0
B4_qrow32	FFMA.FTZ	132	132	0
B4_qrow32	FMUL.FTZ	264	264	0
B4_qrow32	FADD.FTZ	66	66	0
B4_qrow32	MUFU.EX2	66	66	0
B4_qrow32	MUFU.LG2	2	2	0
B4_qrow32	MUFU.RCP	68	68	0
B4_qrow32	LDGSTS.E.BYPASS.LTC128B.128	176	176	0
B4_qrow32	LDSM.16.M88.4	160	160	0
B4_qrow32	LDSM.16.MT88.4	128	128	0
B4_qrow32	STG.E	6	6	0
B4_qrow32	STG.E.128	32	32	0
B4_qrow32	LDG.E	76	75	-1
B4_qrow32	BRA	81	71	-10
B4_qrow32	BRA.U	14	13	-1
B4_qrow32	BSSY.RECONVERGENT	72	65	-7
B4_qrow32	BSYNC.RECONVERGENT	72	65	-7
B1_qrow16	HMMA.16816.F32.BF16	512	512	0
B1_qrow16	FFMA.FTZ	132	132	0
B1_qrow16	FMUL.FTZ	264	264	0
B1_qrow16	LDGSTS.E.BYPASS.LTC128B.128	336	336	0
B1_qrow16	LDSM.16.M88.4	160	160	0
B1_qrow16	LDSM.16.MT88.4	128	128	0
B1_qrow16	STG.E	6	6	0
B1_qrow16	STG.E.128	32	32	0
B1_qrow16	CALL.REL.NOINC	4	4	0
B1_qrow16	BRA	88	88	0
B1_qrow16	BRA.U	16	16	0
