profile	opcode	baseline_bv8_per_cta	candidate_bv16_per_cta	per_cta_delta	b1_event_delta	b4_event_delta
base	FADD	251	383	132	-731136	-2924544
base	FFMA	272	392	120	-933888	-3735552
base	FMUL	305	389	84	-1357824	-5431296
base	HFMA2	5	6	1	-24576	-98304
base	IADD	34	49	15	-116736	-466944
base	IADD3	56	60	4	-319488	-1277952
base	IMAD	123	139	16	-657408	-2629632
base	LDG	74	89	15	-362496	-1449984
base	LEA	51	61	10	-251904	-1007616
base	LOP3	26	32	6	-122880	-491520
base	MOV	50	104	54	24576	98304
base	NOP	13	15	2	-67584	-270336
base	PRMT	18	30	12	-36864	-147456
base	S2R	5	7	2	-18432	-73728
base	SHF	114	141	27	-534528	-2138112
base	SHFL	176	296	120	-344064	-1376256
base	STS	28	40	12	-98304	-393216
committer	FADD	251	380	129	-749568	-2998272
committer	FFMA	272	392	120	-933888	-3735552
committer	FMUL	305	380	75	-1413120	-5652480
committer	FSETP	75	72	-3	-479232	-1916928
committer	HFMA2	5	6	1	-24576	-98304
committer	IADD	51	64	13	-233472	-933888
committer	IADD3	60	34	-26	-528384	-2113536
committer	IMAD	140	66	-74	-1314816	-5259264
committer	ISETP	31	27	-4	-215040	-860160
committer	LDC	32	11	-21	-325632	-1302528
committer	LDCU	10	28	18	49152	196608
committer	LDG	74	89	15	-362496	-1449984
committer	LEA	47	54	7	-245760	-983040
committer	LOP3	48	26	-22	-430080	-1720320
committer	MOV	50	189	139	546816	2187264
committer	P2R	1	2	1	0	0
committer	PLOP3	1	2	1	0	0
committer	PRMT	16	28	12	-24576	-98304
committer	R2UR	1	7	6	30720	122880
committer	S2R	5	3	-2	-43008	-172032
committer	S2UR	4	7	3	-6144	-24576
committer	SEL	8	0	-8	-98304	-393216
committer	SHF	150	135	-15	-1013760	-4055040
committer	SHFL	176	296	120	-344064	-1376256
committer	STS	28	40	12	-98304	-393216
committer	UFADD	0	3	3	18432	73728
committer	UFMUL	0	9	9	55296	221184
committer	UFSETP	0	3	3	18432	73728
committer	UIADD3	0	32	32	196608	786432
committer	UIMAD	0	91	91	559104	2236416
committer	UISETP	0	8	8	49152	196608
committer	ULEA	5	8	3	-12288	-49152
committer	ULOP3	0	3	3	18432	73728
committer	UMOV	4	16	12	49152	196608
committer	USEL	0	9	9	55296	221184
committer	USHF	0	42	42	258048	1032192
committer	UVIMNMX	0	4	4	24576	98304
committer	VIMNMX	4	0	-4	-49152	-196608
