profile	opcode	baseline	candidate	delta
base	BAR	48	48	0
base	BRA	13	15	2
base	BSSY	1	1	0
base	BSYNC	1	1	0
base	CS2R	14	6	-8
base	EXIT	2	2	0
base	F2FP	12	12	0
base	FADD	251	251	0
base	FFMA	272	272	0
base	FMUL	305	305	0
base	FSEL	72	24	-48
base	FSETP	75	75	0
base	HFMA2	11	9	-2
base	I2FP	12	12	0
base	IADD	48	48	0
base	IADD3	48	48	0
base	IMAD	124	124	0
base	ISETP	61	41	-20
base	LDC	38	38	0
base	LDCU	16	16	0
base	LDG	85	85	0
base	LDS	28	28	0
base	LEA	52	52	0
base	LOP3	25	25	0
base	MOV	62	64	2
base	MUFU	59	59	0
base	NOP	11	11	0
base	P2R	4	3	-1
base	PLOP3	10	3	-7
base	POPC	1	1	0
base	PRMT	74	40	-34
base	R2UR	1	1	0
base	REDG	1	1	0
base	S2R	5	5	0
base	S2UR	5	5	0
base	SGXT	1	1	0
base	SHF	117	117	0
base	SHFL	176	176	0
base	STG	54	54	0
base	STS	28	28	0
base	UFLO	1	1	0
base	UIADD3	2	2	0
base	UIMAD	2	2	0
base	UISETP	1	1	0
base	ULEA	6	6	0
base	UMOV	6	6	0
base	USHF	2	2	0
base	VIMNMX	4	0	-4
base	VOTEU	1	1	0
committer_stack	BAR	48	48	0
committer_stack	BRA	13	15	2
committer_stack	BSSY	1	1	0
committer_stack	BSYNC	1	1	0
committer_stack	CS2R	14	6	-8
committer_stack	EXIT	2	2	0
committer_stack	F2FP	12	12	0
committer_stack	FADD	251	251	0
committer_stack	FFMA	272	272	0
committer_stack	FMUL	305	305	0
committer_stack	FSEL	72	24	-48
committer_stack	FSETP	75	75	0
committer_stack	HFMA2	11	9	-2
committer_stack	I2FP	12	12	0
committer_stack	IADD	65	65	0
committer_stack	IADD3	52	52	0
committer_stack	IMAD	141	141	0
committer_stack	ISETP	44	41	-3
committer_stack	LDC	38	38	0
committer_stack	LDCU	21	21	0
committer_stack	LDG	85	85	0
committer_stack	LDS	28	28	0
committer_stack	LEA	48	48	0
committer_stack	LOP3	50	25	-25
committer_stack	MOV	63	64	1
committer_stack	MUFU	59	59	0
committer_stack	NOP	9	12	3
committer_stack	P2R	0	3	3
committer_stack	PLOP3	10	3	-7
committer_stack	POPC	1	1	0
committer_stack	PRMT	72	40	-32
committer_stack	R2UR	1	1	0
committer_stack	REDG	1	1	0
committer_stack	S2R	5	5	0
committer_stack	S2UR	5	5	0
committer_stack	SGXT	1	1	0
committer_stack	SHF	153	153	0
committer_stack	SHFL	176	176	0
committer_stack	STG	82	82	0
committer_stack	STS	28	28	0
committer_stack	UFLO	1	1	0
committer_stack	UIADD3	2	2	0
committer_stack	UIMAD	2	2	0
committer_stack	UISETP	1	1	0
committer_stack	ULEA	6	6	0
committer_stack	UMOV	6	6	0
committer_stack	USHF	2	2	0
committer_stack	VIMNMX	4	0	-4
committer_stack	VOTEU	1	1	0
