profile	opcode	baseline	candidate	delta
base	BAR	48	48	0
base	BRA	15	5	-10
base	BSSY	1	1	0
base	BSYNC	1	1	0
base	CS2R	6	6	0
base	EXIT	2	2	0
base	F2FP	12	12	0
base	FADD	251	251	0
base	FFMA	272	272	0
base	FMUL	305	305	0
base	FSEL	24	24	0
base	FSETP	75	75	0
base	HFMA2	9	5	-4
base	I2FP	12	12	0
base	IADD	48	34	-14
base	IADD3	48	62	14
base	IMAD	124	123	-1
base	ISETP	41	47	6
base	LDC	38	31	-7
base	LDCU	16	7	-9
base	LDG	85	74	-11
base	LDS	28	28	0
base	LEA	52	45	-7
base	LOP3	25	27	2
base	MOV	64	50	-14
base	MUFU	59	59	0
base	NOP	11	13	2
base	P2R	3	8	5
base	PLOP3	3	3	0
base	POPC	1	1	0
base	PRMT	40	42	2
base	R2UR	1	1	0
base	REDG	1	1	0
base	S2R	5	5	0
base	S2UR	5	4	-1
base	SEL	0	8	8
base	SGXT	1	1	0
base	SHF	117	114	-3
base	SHFL	176	176	0
base	STG	54	54	0
base	STS	28	28	0
base	UFLO	1	1	0
base	UIADD3	2	0	-2
base	UIMAD	2	0	-2
base	UISETP	1	0	-1
base	ULEA	6	5	-1
base	UMOV	6	4	-2
base	USHF	2	0	-2
base	VIMNMX	0	4	4
base	VOTEU	1	1	0
committer_stack	BAR	48	48	0
committer_stack	BRA	15	5	-10
committer_stack	BSSY	1	1	0
committer_stack	BSYNC	1	1	0
committer_stack	CS2R	6	6	0
committer_stack	EXIT	2	2	0
committer_stack	F2FP	12	12	0
committer_stack	FADD	251	251	0
committer_stack	FFMA	272	272	0
committer_stack	FMUL	305	305	0
committer_stack	FSEL	24	24	0
committer_stack	FSETP	75	75	0
committer_stack	HFMA2	9	5	-4
committer_stack	I2FP	12	12	0
committer_stack	IADD	65	51	-14
committer_stack	IADD3	52	66	14
committer_stack	IMAD	141	140	-1
committer_stack	ISETP	41	33	-8
committer_stack	LDC	38	31	-7
committer_stack	LDCU	21	11	-10
committer_stack	LDG	85	74	-11
committer_stack	LDS	28	28	0
committer_stack	LEA	48	41	-7
committer_stack	LOP3	25	55	30
committer_stack	MOV	64	50	-14
committer_stack	MUFU	59	59	0
committer_stack	NOP	12	10	-2
committer_stack	P2R	3	1	-2
committer_stack	PLOP3	3	3	0
committer_stack	POPC	1	1	0
committer_stack	PRMT	40	40	0
committer_stack	R2UR	1	1	0
committer_stack	REDG	1	1	0
committer_stack	S2R	5	5	0
committer_stack	S2UR	5	4	-1
committer_stack	SEL	0	8	8
committer_stack	SGXT	1	1	0
committer_stack	SHF	153	150	-3
committer_stack	SHFL	176	176	0
committer_stack	STG	82	82	0
committer_stack	STS	28	28	0
committer_stack	UFLO	1	1	0
committer_stack	UIADD3	2	0	-2
committer_stack	UIMAD	2	0	-2
committer_stack	UISETP	1	0	-1
committer_stack	ULEA	6	5	-1
committer_stack	UMOV	6	4	-2
committer_stack	USHF	2	0	-2
committer_stack	VIMNMX	0	4	4
committer_stack	VOTEU	1	1	0
