profile	opcode	baseline	candidate	delta
base	BAR	48	48	0
base	BRA	5	5	0
base	BSSY	1	1	0
base	BSYNC	1	1	0
base	CS2R	6	0	-6
base	EXIT	2	2	0
base	F2FP	12	12	0
base	FADD	251	251	0
base	FFMA	272	272	0
base	FMUL	305	305	0
base	FSEL	24	24	0
base	FSETP	75	75	0
base	HFMA2	5	5	0
base	I2FP	12	12	0
base	IADD	34	34	0
base	IADD3	62	56	-6
base	IMAD	123	123	0
base	ISETP	47	41	-6
base	LDC	31	32	1
base	LDCU	7	6	-1
base	LDG	74	74	0
base	LDS	28	28	0
base	LEA	45	51	6
base	LOP3	27	26	-1
base	MOV	50	50	0
base	MUFU	59	59	0
base	NOP	13	13	0
base	P2R	8	7	-1
base	PLOP3	3	1	-2
base	POPC	1	1	0
base	PRMT	42	18	-24
base	R2UR	1	1	0
base	REDG	1	1	0
base	S2R	5	5	0
base	S2UR	4	4	0
base	SEL	8	8	0
base	SGXT	1	1	0
base	SHF	114	114	0
base	SHFL	176	176	0
base	STG	54	54	0
base	STS	28	28	0
base	UFLO	1	1	0
base	ULEA	5	5	0
base	UMOV	4	4	0
base	VIMNMX	4	4	0
base	VOTEU	1	1	0
committer_stack	BAR	48	48	0
committer_stack	BRA	5	5	0
committer_stack	BSSY	1	1	0
committer_stack	BSYNC	1	1	0
committer_stack	CS2R	6	0	-6
committer_stack	EXIT	2	2	0
committer_stack	F2FP	12	12	0
committer_stack	FADD	251	251	0
committer_stack	FFMA	272	272	0
committer_stack	FMUL	305	305	0
committer_stack	FSEL	24	24	0
committer_stack	FSETP	75	75	0
committer_stack	HFMA2	5	5	0
committer_stack	I2FP	12	12	0
committer_stack	IADD	51	51	0
committer_stack	IADD3	66	60	-6
committer_stack	IMAD	140	140	0
committer_stack	ISETP	33	31	-2
committer_stack	LDC	31	32	1
committer_stack	LDCU	11	10	-1
committer_stack	LDG	74	74	0
committer_stack	LDS	28	28	0
committer_stack	LEA	41	47	6
committer_stack	LOP3	55	48	-7
committer_stack	MOV	50	50	0
committer_stack	MUFU	59	59	0
committer_stack	NOP	10	11	1
committer_stack	P2R	1	1	0
committer_stack	PLOP3	3	1	-2
committer_stack	POPC	1	1	0
committer_stack	PRMT	40	16	-24
committer_stack	R2UR	1	1	0
committer_stack	REDG	1	1	0
committer_stack	S2R	5	5	0
committer_stack	S2UR	4	4	0
committer_stack	SEL	8	8	0
committer_stack	SGXT	1	1	0
committer_stack	SHF	150	150	0
committer_stack	SHFL	176	176	0
committer_stack	STG	82	82	0
committer_stack	STS	28	28	0
committer_stack	UFLO	1	1	0
committer_stack	ULEA	5	5	0
committer_stack	UMOV	4	4	0
committer_stack	VIMNMX	4	4	0
committer_stack	VOTEU	1	1	0
