metric	m32_n128k64s3_baseline	m32_n256k32s3_candidate	delta
logical_grid_ctas	1940	970	-970
threads_per_cta	64	128	64
warps_per_cta	2	4	2
ptxas_registers_per_thread	158	128	-30
registers_per_cta	10112	16384	6272
dynamic_shared_bytes	61440	55296	-6144
static_shared_bytes	1024	1024	0
shared_limited_ctas_per_100k_carveout	1	1	0
shared_limited_warps_per_sm	2	4	2
stack_bytes	0	0	0
spill_store_bytes	0	0	0
spill_load_bytes	0	0	0
logical_hidden_tile_bytes_before_cache	635699200	317849600	-317849600
mandatory_weight_bytes	2542796800	2542796800	0
logical_output_bytes	15892480	15892480	0
