# FR14 ablation A step 2: sglang decode-batch telemetry (their engine, our SWE agent traffic)
# first 30 and last 30 'Decode batch' lines of 1017 samples; full log kept at /home/mark/shared/tmp-scratch/fr14_ablation_a/step2/sglang_full.log

[2026-08-16 23:42:21] Decode batch, #running-req: 1, #full token: 22905, full token usage: 0.03, mamba num: 4, mamba usage: 0.05, accept len: 3.12, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 1.05, #queue-req: 0
[2026-08-16 23:42:28] Decode batch, #running-req: 1, #full token: 25644, full token usage: 0.03, mamba num: 4, mamba usage: 0.05, accept len: 3.75, accept rate: 0.92, cuda graph: True, gen throughput (token/s): 22.45, #queue-req: 0
[2026-08-16 23:42:33] Decode batch, #running-req: 1, #full token: 25800, full token usage: 0.03, mamba num: 4, mamba usage: 0.05, accept len: 3.92, accept rate: 0.97, cuda graph: True, gen throughput (token/s): 34.17, #queue-req: 0
[2026-08-16 23:42:37] Decode batch, #running-req: 1, #full token: 25928, full token usage: 0.03, mamba num: 4, mamba usage: 0.05, accept len: 3.20, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 27.88, #queue-req: 0
[2026-08-16 23:42:42] Decode batch, #running-req: 1, #full token: 26072, full token usage: 0.03, mamba num: 4, mamba usage: 0.05, accept len: 3.60, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 31.46, #queue-req: 0
[2026-08-16 23:42:46] Decode batch, #running-req: 1, #full token: 26189, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.85, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 24.88, #queue-req: 0
[2026-08-16 23:42:51] Decode batch, #running-req: 1, #full token: 26294, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.70, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 23.51, #queue-req: 0
[2026-08-16 23:42:56] Decode batch, #running-req: 1, #full token: 26414, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.00, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 26.10, #queue-req: 0
[2026-08-16 23:43:00] Decode batch, #running-req: 1, #full token: 26544, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.20, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 27.78, #queue-req: 0
[2026-08-16 23:43:05] Decode batch, #running-req: 1, #full token: 26668, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.15, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 27.31, #queue-req: 0
[2026-08-16 23:43:09] Decode batch, #running-req: 1, #full token: 26787, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.92, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 25.34, #queue-req: 0
[2026-08-16 23:43:14] Decode batch, #running-req: 1, #full token: 26917, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.30, accept rate: 0.77, cuda graph: True, gen throughput (token/s): 28.67, #queue-req: 0
[2026-08-16 23:43:19] Decode batch, #running-req: 1, #full token: 27066, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.70, accept rate: 0.90, cuda graph: True, gen throughput (token/s): 32.13, #queue-req: 0
[2026-08-16 23:43:23] Decode batch, #running-req: 1, #full token: 27214, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.73, accept rate: 0.91, cuda graph: True, gen throughput (token/s): 32.40, #queue-req: 0
[2026-08-16 23:43:28] Decode batch, #running-req: 1, #full token: 27328, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.77, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 24.12, #queue-req: 0
[2026-08-16 23:43:32] Decode batch, #running-req: 1, #full token: 27449, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.02, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 26.33, #queue-req: 0
[2026-08-16 23:43:37] Decode batch, #running-req: 1, #full token: 27563, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.92, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 25.42, #queue-req: 0
[2026-08-16 23:43:42] Decode batch, #running-req: 1, #full token: 27677, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.80, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 24.31, #queue-req: 0
[2026-08-16 23:43:46] Decode batch, #running-req: 1, #full token: 27819, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.52, accept rate: 0.84, cuda graph: True, gen throughput (token/s): 30.73, #queue-req: 0
[2026-08-16 23:43:51] Decode batch, #running-req: 1, #full token: 27928, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.80, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 24.34, #queue-req: 0
[2026-08-16 23:43:55] Decode batch, #running-req: 1, #full token: 28041, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.75, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 23.85, #queue-req: 0
[2026-08-16 23:44:00] Decode batch, #running-req: 1, #full token: 28141, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.55, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 22.17, #queue-req: 0
[2026-08-16 23:44:05] Decode batch, #running-req: 1, #full token: 28253, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.83, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 24.53, #queue-req: 0
[2026-08-16 23:44:09] Decode batch, #running-req: 1, #full token: 28357, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 2.60, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 22.56, #queue-req: 0
[2026-08-16 23:44:14] Decode batch, #running-req: 1, #full token: 28487, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.25, accept rate: 0.75, cuda graph: True, gen throughput (token/s): 28.21, #queue-req: 0
[2026-08-16 23:44:19] Decode batch, #running-req: 1, #full token: 29245, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.73, accept rate: 0.91, cuda graph: True, gen throughput (token/s): 28.73, #queue-req: 0
[2026-08-16 23:44:25] Decode batch, #running-req: 1, #full token: 29648, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.42, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 24.22, #queue-req: 0
[2026-08-16 23:44:29] Decode batch, #running-req: 1, #full token: 29787, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.50, accept rate: 0.83, cuda graph: True, gen throughput (token/s): 30.26, #queue-req: 0
[2026-08-16 23:44:34] Decode batch, #running-req: 1, #full token: 29918, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.33, accept rate: 0.78, cuda graph: True, gen throughput (token/s): 28.71, #queue-req: 0
[2026-08-16 23:44:39] Decode batch, #running-req: 1, #full token: 30077, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.98, accept rate: 0.99, cuda graph: True, gen throughput (token/s): 34.41, #queue-req: 0
...
[2026-08-17 01:08:08] Decode batch, #running-req: 1, #full token: 46192, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.08, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 21.66, #queue-req: 0
[2026-08-17 01:08:13] Decode batch, #running-req: 1, #full token: 46301, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 2.73, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 22.88, #queue-req: 0
[2026-08-17 01:08:18] Decode batch, #running-req: 1, #full token: 46889, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.48, accept rate: 0.82, cuda graph: True, gen throughput (token/s): 26.16, #queue-req: 0
[2026-08-17 01:08:24] Decode batch, #running-req: 1, #full token: 47440, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.70, accept rate: 0.90, cuda graph: True, gen throughput (token/s): 26.11, #queue-req: 0
[2026-08-17 01:08:29] Decode batch, #running-req: 1, #full token: 47564, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.15, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 26.43, #queue-req: 0
[2026-08-17 01:08:33] Decode batch, #running-req: 1, #full token: 47716, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.80, accept rate: 0.93, cuda graph: True, gen throughput (token/s): 31.82, #queue-req: 0
